,changeeconomy,econpersonalretro,changeimmig,controlimmig,effectseunhs,effectseuunemployment,effectseuimmigration,effectseuecon,happyeuleave
369,1.0,1.0,0.5,1.0,3,1,-1,1,2
370,-0.5,-0.5,2.0,2.0,-1,-1,-2,1,2
371,1.5,1.0,0.5,1.0,1,-1,1,3,2
372,-2.0,-0.5,1.0,0.5,-1,1,1,-1,2
373,1.0,1.5,1.0,1.0,1,1,-1,3,2
374,1.0,-0.5,1.0,1.0,3,1,1,1,2
375,1.5,1.0,1.0,2.0,-1,1,-1,3,1
376,-0.5,-2.0,2.0,1.0,3,1,-1,3,1
377,1.0,1.0,0.5,2.0,3,1,-1,1,1
378,-0.5,-0.5,1.0,1.0,1,1,1,1,2
379,1.0,1.0,-2.0,1.0,1,-2,-2,6,2
380,-0.5,1.0,1.0,2.0,1,1,1,1,2
381,6.0,-0.5,1.0,1.0,-1,-1,1,6,2
382,-2.0,-2.0,2.0,1.0,3,-2,-2,1,2
383,1.0,1.0,1.0,1.0,1,1,1,1,1
384,1.0,6.0,1.0,1.0,1,1,-1,3,2
385,1.0,1.0,1.0,2.0,1,1,-1,1,2
386,1.0,1.0,1.0,1.0,1,1,1,-1,1
387,-0.5,1.0,1.0,0.5,-2,1,1,-2,1
388,-0.5,-0.5,1.0,0.5,-1,1,1,-1,2
389,1.0,1.0,2.0,1.0,1,1,1,1,1
390,-0.5,-0.5,-0.5,2.0,1,1,1,-1,1
391,1.0,1.0,1.0,1.0,3,-1,-1,3,2
392,1.5,1.5,0.5,1.0,1,-1,-1,1,2
393,1.5,1.0,0.5,2.0,6,1,-1,1,2
394,1.5,1.0,1.0,2.0,3,1,-1,3,2
395,1.0,1.0,1.0,2.0,3,1,-1,3,2
396,-2.0,-0.5,1.0,0.5,-2,1,1,-1,1
397,1.0,1.0,1.0,1.0,1,1,1,1,2
398,1.0,-0.5,-0.5,1.0,1,1,1,1,1
399,-0.5,1.0,1.0,2.0,1,-1,-1,-1,1
400,1.0,1.5,-0.5,2.0,3,-1,-1,3,1
401,-2.0,-2.0,2.0,1.0,-2,1,1,-2,2
402,-0.5,1.0,2.0,2.0,3,1,-1,3,2
403,1.5,1.5,0.5,1.0,3,1,-2,3,1
404,-2.0,-0.5,2.0,0.5,-1,1,1,-1,2
405,-0.5,-0.5,0.5,1.0,-1,-1,1,-1,2
406,1.0,1.0,2.0,2.0,3,1,-1,1,2
407,1.0,-0.5,-0.5,0.5,1,-1,-1,1,1
408,-0.5,-0.5,1.0,2.0,-1,-1,-1,-1,1
409,1.0,1.0,1.0,1.0,1,1,-1,1,1
410,-0.5,1.0,1.0,2.0,1,1,-1,1,1
411,1.5,1.5,-0.5,1.0,1,1,1,1,1
412,-2.0,-0.5,1.0,1.0,-2,1,1,-2,1
413,-2.0,6.0,-2.0,2.0,-2,2,-2,-2,2
414,1.0,1.0,1.0,1.0,1,1,1,1,1
415,-0.5,1.0,0.5,2.0,1,1,1,-1,1
416,-0.5,1.0,0.5,2.0,3,1,1,3,2
417,1.0,1.0,0.5,2.0,1,1,1,1,2
418,-0.5,1.0,0.5,0.5,-1,1,1,-1,1
419,1.0,1.5,1.0,1.0,1,1,1,1,1
420,1.0,-0.5,1.0,1.0,1,1,1,1,1
421,1.0,-0.5,0.5,1.0,1,1,-2,1,2
422,-0.5,-2.0,1.0,1.0,1,1,1,-2,2
423,-2.0,1.0,1.0,0.5,-2,1,1,-1,1
424,1.0,1.0,1.0,1.0,1,1,1,1,1
425,-0.5,1.0,0.5,1.0,3,1,1,-1,2
426,-2.0,-2.0,1.0,1.0,-1,1,1,-1,1
427,-0.5,1.0,1.0,0.5,1,1,1,-2,2
428,-0.5,1.0,1.0,1.0,-1,1,1,-1,2
429,-0.5,-0.5,1.0,1.0,-1,1,1,-1,1
430,-0.5,1.0,1.0,1.0,-1,2,1,-2,2
431,1.0,1.0,1.0,1.0,1,1,1,1,1
432,1.0,1.0,0.5,1.0,1,-1,1,3,1
433,1.5,1.0,1.0,2.0,3,-1,-1,3,2
434,1.0,1.5,-0.5,2.0,3,-1,-1,1,2
435,-2.0,-2.0,1.0,2.0,6,2,-2,1,1
436,1.0,1.5,2.0,2.0,3,-1,-1,-1,1
437,-0.5,1.0,0.5,1.0,3,1,-1,1,1
438,1.0,-2.0,2.0,2.0,6,-2,-1,3,1
439,1.0,-2.0,1.0,2.0,1,1,-1,1,1
440,-2.0,1.5,1.0,1.0,-1,1,1,-1,2
441,1.0,1.0,1.0,1.0,1,1,1,1,1
442,1.0,-0.5,2.0,1.0,3,1,-1,3,2
443,-0.5,1.0,1.0,1.0,-2,-2,1,-2,2
444,1.0,1.0,1.0,0.5,1,1,1,1,1
445,1.0,1.0,0.5,1.0,1,1,1,1,2
446,-0.5,1.0,2.0,1.0,3,1,-1,3,2
447,-0.5,1.0,1.0,1.0,-1,1,1,-1,1
448,1.0,-2.0,0.5,2.0,3,-1,-1,3,1
449,-0.5,1.5,1.0,1.0,1,1,1,-1,1
450,1.0,1.0,1.0,1.0,1,1,1,1,1
451,1.0,1.0,1.0,1.0,1,1,1,1,1
